path,time,power,area
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkblue\screenshot_20250917_203743.png,10,0.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkgold\screenshot_20250917_203743.png,10,13.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkorange\screenshot_20250917_203743.png,10,10.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkred\screenshot_20250917_203743.png,10,0.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\lime\screenshot_20250917_203743.png,10,17.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\orange\screenshot_20250917_203743.png,10,10.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\red\screenshot_20250917_203743.png,10,9.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\yellow\screenshot_20250917_203743.png,10,17.0,0
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkblue\screenshot_20250917_203749.png,60,208.0,950
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkgold\screenshot_20250917_203749.png,60,321.0,239
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkorange\screenshot_20250917_203749.png,60,318.0,98
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkred\screenshot_20250917_203749.png,60,233.0,78
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\lime\screenshot_20250917_203749.png,60,325.0,3373
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\orange\screenshot_20250917_203749.png,60,317.0,177
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\red\screenshot_20250917_203749.png,60,310.0,35
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\yellow\screenshot_20250917_203749.png,60,309.0,510
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkblue\screenshot_20250917_203754.png,116,415.0,3071
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkgold\screenshot_20250917_203754.png,116,752.0,393
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkorange\screenshot_20250917_203754.png,116,727.0,261
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkred\screenshot_20250917_203754.png,116,450.0,487
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\lime\screenshot_20250917_203754.png,116,772.0,4097
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\orange\screenshot_20250917_203754.png,116,741.0,426
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\red\screenshot_20250917_203754.png,116,761.0,399
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\yellow\screenshot_20250917_203754.png,116,705.0,1177
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkblue\screenshot_20250917_203800.png,167,557.0,2333
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkgold\screenshot_20250917_203800.png,167,1200.0,703
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkorange\screenshot_20250917_203800.png,167,1400.0,394
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkred\screenshot_20250917_203800.png,167,629.0,513
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\lime\screenshot_20250917_203800.png,167,1300.0,3306
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\orange\screenshot_20250917_203800.png,167,1200.0,778
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\red\screenshot_20250917_203800.png,167,1400.0,809
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\yellow\screenshot_20250917_203800.png,167,1200.0,1347
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkblue\screenshot_20250917_203805.png,221,661.0,866
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkgold\screenshot_20250917_203805.png,221,1600.0,872
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkorange\screenshot_20250917_203805.png,221,2300.0,754
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkred\screenshot_20250917_203805.png,221,868.0,518
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\lime\screenshot_20250917_203805.png,221,1800.0,380
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\orange\screenshot_20250917_203805.png,221,1700.0,736
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\red\screenshot_20250917_203805.png,221,2400.0,1050
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\yellow\screenshot_20250917_203805.png,221,2100.0,1090
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkblue\screenshot_20250917_203811.png,275,1200.0,1566
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkgold\screenshot_20250917_203811.png,275,1900.0,990
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkorange\screenshot_20250917_203811.png,275,3700.0,942
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\darkred\screenshot_20250917_203811.png,275,1200.0,369
E:\Coding\Python\MachineLearning_SC\data\processed\Session_5s_2025-09-17_20-36-31\lime\screenshot_20250917_203811.png,275,2600.0,2684
